Price,Bedrooms,Bathrooms,Garage,Furnished,Amenity_Annexe (Boys' quarters),Amenity_Garage,Amenity_Garden,Amenity_Generator,Amenity_Refrigerator,Amenity_Swimming pool,Amenity_Pets allowed,Amenity_Open car spaces,Amenity_Fans,Amenity_Water reservoir,Amenity_Microwave,Amenity_Internet,Amenity_Security service,Amenity_Secure parking,Amenity_Washing machine,Amenity_Air conditioning,Amenity_Cooker,Amenity_Dstv,Amenity_Roof terrace,LogPrice,comfortFeatures,utilityFeatures,connectivityFeatures,luxuryFeatures,exSpace
12000.0,3,4,3,0,0,0,1,1,0,1,0,0,1,1,0,1,1,0,0,1,1,1,1,9.392661928770137,3,3,2,3,0
13923.0,4,3,10,0,1,0,1,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,9.541297427909285,2,2,1,1,1
19890.0,3,4,4,0,1,0,1,0,1,0,0,0,1,1,1,1,1,0,0,1,1,0,0,9.897972371848018,5,2,1,1,1
47400.0,4,5,4,0,0,0,1,0,1,0,0,0,1,1,1,1,0,0,1,1,1,0,1,10.766377507683169,6,1,1,2,0
4000.0,4,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.294049640102028,0,0,0,0,1
5000.0,2,3,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,8.517193191416238,2,3,1,0,0
23280.0,1,1,0,1,0,0,1,1,1,1,0,0,1,1,1,0,1,0,1,1,1,1,0,10.055349901845375,6,3,1,2,0
54144.0,4,4,5,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,10.899402442965895,6,4,2,3,1
100553.0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.518440230658252,0,0,0,0,0
69614.0,3,4,2,0,0,0,0,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,0,11.150720975519965,5,3,2,1,0
10829.0,5,3,2,0,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,9.28998299962838,2,3,0,1,1
11950.0,2,2,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,0,9.388486557359657,6,4,2,1,1
44862.0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.71134639022797,0,0,0,0,0
30000.0,2,3,2,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1,1,0,0,10.308952660644293,5,2,0,0,0
2000.0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,7.600902459542082,1,1,2,0,0
13149.0,3,4,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,0,0,9.484100989086919,4,2,1,0,0
37127.0,2,2,0,1,0,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,10.522099746707825,5,4,2,3,0
38674.0,2,2,0,1,0,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,10.562922818610538,5,4,2,3,0
23205.0,2,2,0,1,0,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,0,10.052123051675276,5,4,2,2,0
38674.0,2,2,0,1,0,0,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,10.562922818610538,5,3,2,3,0
1600.0,1,1,0,1,0,0,0,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,0,7.3777589082278725,5,3,2,1,0
60800.0,4,5,0,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,1,1,1,1,0,11.015345067954259,5,2,2,1,0
12376.0,3,3,2,0,0,1,1,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0,1,9.423514392252901,3,3,1,2,0
2000.0,1,1,2,0,0,1,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,7.600902459542082,1,3,1,2,0
4000.0,2,2,2,0,0,1,1,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,1,8.294049640102028,2,3,1,2,0
